Survey Year,UnitID,Institution Name,Campus ID,Campus Name,Institution Size,Illegal Weapons Possession,Drug Law Violations,Liquor Law Violations
2008,231420,Averett University,1,Main Campus,842,0,0,0
2008,366793,Baptist Theological Seminary at Richmond,1,Main Campus,120,0,0,0
2008,231554,Bluefield College,1,Main Campus,736,0,0,0
2008,231581,Bridgewater College,1,Main Campus,1514,0,2,1
2008,231712,Christopher Newport University,1,Main Campus,4904,0,3,21
2008,231624,College of William and Mary,1,Main Campus,7892,0,7,9
2008,232043,Eastern Mennonite University,1,Main Campus,1387,0,0,0
2008,232025,Emory & Henry College,1,Main Campus,1015,0,0,0
2008,232089,Ferrum College,1,Ferrum College,1397,5,4,12
2008,232186,George Mason University,1,Main Campus,30613,0,22,52
2008,232256,Hampden-Sydney College,1,Main Campus,1120,0,6,4
2008,232265,Hampton University,1,Main Campus,5427,1,0,1
2008,232308,Hollins University,1,Hollins University,1058,0,0,1
2008,232423,James Madison University,1,Main Campus-Harrisonburg,18454,0,36,22
2008,232423,James Madison University,2,Madison House (London Semester - Branch Campus),18454,0,0,0
2008,232423,James Madison University,3,Antwerp Hall- JMU Semester in Antwerp- Belgium,18454,0,0,0
2008,232423,James Madison University,4,Palazzo Capponi (JMU's Semester in Florence- Italy),18454,0,0,0
2008,231837,Jefferson College of Health Sciences,1,JCHS Main Campus,995,0,0,0
2008,232557,Liberty University,1,Main Campus,33604,0,0,0
2008,232566,Longwood University,1,Main Campus,4727,0,3,4
2008,232609,Lynchburg College,1,Main Campus,2572,0,4,0
2008,232672,Mary Baldwin College,1,Main Campus,1738,0,1,0
2008,232706,Marymount University,1,Marymount University,3548,0,2,0
2008,232937,Norfolk State University,1,Norfolk State University,6325,1,1,0
2008,232982,Old Dominion University,1,Old Dominion University,23086,6,8,9
2008,233277,Radford University,1,Main Campus,9157,0,26,29
2008,233301,Randolph College,1,RANDOLPH COLLEGE,568,0,1,0
2008,233295,Randolph-Macon College,1,Main Campus,1201,0,3,4
2008,231651,Regent University,1,Main Campus,4278,0,0,0
2008,233338,Richard Bland College of the College of William and Mary,1,Richard Bland College of the College of William and Mary,1634,0,1,2
2008,233426,Roanoke College,1,Main Campus,2021,0,15,0
2008,233499,Saint Pauls College,1,Saint Paul's College,644,0,4,0
2008,233541,Shenandoah University,1,Main Campus,3511,0,0,0
2008,233611,Southern Virginia University,1,Main Campus,686,0,1,0
2008,233718,Sweet Briar College,1,Main Campus,828,0,0,0
2008,233897,The University of Virginia's College at Wise,1,University of VA's College at Wise,1964,0,0,0
2008,233842,Union Presbyterian Seminary,1,Main Campus,344,0,0,0
2008,232681,University of Mary Washington,1,University of Mary Washington,5084,0,4,5
2008,233374,University of Richmond,1,Main Campus,4249,0,11,4
2008,234076,University of Virginia-Main Campus,1,Main Campus,24541,0,2,16
2008,234030,Virginia Commonwealth University,1,Monroe Park Campus,32044,2,26,28
2008,234030,Virginia Commonwealth University,2,MCV Campus,32044,0,0,1
2008,233912,Virginia Intermont College,1,Virginia Intermont College,542,0,0,0
2008,234085,Virginia Military Institute,1,Virginia Military Institute,1428,0,0,0
2008,233921,Virginia Polytechnic Institute and State University,1,Virginia Polytechnic Institute and State Univ,30739,0,19,68
2008,233921,Virginia Polytechnic Institute and State University,9,Center for European Studies and Architecture,30739,0,0,0
2008,234155,Virginia State University,1,Main Campus,5042,0,1,1
2008,234164,Virginia Union University,1,Main Campus,1501,0,0,0
2008,234137,Virginia University of Lynchburg,1,Main Campus,267,0,0,0
2008,234173,Virginia Wesleyan College,1,VIRGINIA WESLEYAN COLLEGE,1381,0,2,1
2008,234207,Washington and Lee University,1,Main Campus,2155,0,0,0
2008,234359,Woodrow Wilson Rehabilitation Center,1,Woodrow Wilson Rehabilitation Center,237,0,0,0
